plant branch revision scale log_summary_id log_test_id ctime metric warehouses
fireweed master 069d0ff0226b9ac999030b894db8defd4df186e0 NULL 28457 28455 1721006793 576274.29 100
fireweed master 0d8bd0a72ea284ffb1d1154efbe799241cc5edc6 NULL 19139 19137 1720718473 562451.50 100
fireweed master 21471f18e9d9aa3383314ed8bc9163bc369109ae NULL 16305 16303 1720657300 560759.00 100
fireweed master 22d946b0f86f9c13f869bb8b75444a77a20134d8 NULL 19754 19752 1720750603 557867.00 100
fireweed master 49546ae9c74f02dc2a0d6b5469ba0bb025ae25c2 NULL 33767 33762 1721138748 560978.00 100
fireweed master 4b74ebf726d444ba820830cad986a1f92f724649 NULL 34535 34533 1721169689 566234.50 100
fireweed master 4e5d6c40914e2b890c4780d33de8ad07b1d79689 NULL 28831 28829 1721020273 559828.00 100
fireweed master 72c0b24b2ddd2d2a2b85d19222845c8c7ae3cbdb NULL 19594 19592 1720744293 569022.00 100
fireweed master 734c057a8935fca10ff67173c8b969ef799ea7d2 NULL 20587 20558 1720764593 557253.50 100
fireweed master 74e12db19cbc78258a92da8be637a3fb0106b126 NULL 21833 21831 1720784659 545376.00 100
fireweed master 8583b1f99340f4de24661dc50ab63ec6965f6759 NULL 29861 29859 1721036928 570118.00 100
fireweed master 86d33987e8b0364b468c9b40c5f2a0a1aed87ef1 NULL 35932 35930 1721204041 560057.00 100
fireweed master 91651347bae1026afefc648ff939e286878c1cf3 NULL 29702 29700 1721031142 575239.50 100
fireweed master 9e4664d950c125a1ff7bb29cd1593ca37f8b0c01 NULL 16957 16955 1720681964 574172.00 100
fireweed master 9fd8b331dfe151b7c833e2c8fa17ce753830b891 NULL 20106 20104 1720756761 570135.50 100
fireweed master a8458f508a7a441242e148f008293128676df003 NULL 22956 22904 1720839586 560480.00 100
fireweed master a99cc6c6b4bf083d72fb1e8adfb665a449b7a37f NULL 37466 37464 1721231460 557782.00 100
fireweed master bb19b70081e2248f242cd00227abff5b1e105eb6 NULL 17768 17766 1720705703 565433.00 100
fireweed master c194de0713ebe71aaeeb5ebed4af2390cc1b521c NULL 17497 17495 1720704867 563424.00 100
fireweed master d2b74882cab84b9f4fdce0f2f32e892ba9164f5c NULL 32972 32959 1721091946 554072.50 100
fireweed master d5e6891502ca9e359aa5f5a381d904fe9d606338 NULL 24645 24643 1720883373 564597.50 100
fireweed master ec678692f6d0a8b05b86ca08e96b51e4063cba32 NULL 35166 35139 1721184636 567021.50 100
fireweed master f96c2c72788cab3005c8bc6b4934b4928b34a529 NULL 27830 27828 1720979386 554576.00 100
fireweed REL_12_STABLE 067cb6c5da6cfe60618c2951b061137233680c20 NULL 21236 21234 1720784659 462669.50 100
fireweed REL_12_STABLE 1b370758770c3259f2ec09eefe47274be995792e NULL 17575 17573 1720705688 444786.50 100
fireweed REL_12_STABLE 236b225ed452ae54bf3bb778b926495c4f1aa388 NULL 27100 27098 1720979386 459100.50 100
fireweed REL_12_STABLE 69bdee12e4437d3681de584de8ecced1fda4bcb5 NULL 31624 31573 1721081838 458721.00 100
fireweed REL_12_STABLE 92f02c39c0facc817450a77bdff042dabe4aa6a3 NULL 30416 30414 1721060763 328415.50 100
fireweed REL_12_STABLE b06fe880da1423063104ac42214b04245c3277a4 NULL 36410 36408 1721227387 448475.00 100
fireweed REL_12_STABLE ba9fcac7209d884a63cc3e434914132f1ee0dfd2 NULL 22468 22415 1720842328 458396.50 100
fireweed REL_12_STABLE d0054432d480e958e4650c4b56de4a4a6e05da78 NULL 20963 20961 1720781641 462980.00 100
fireweed REL_13_STABLE 05748256939b02bb1cfa23c0dea1c2ff02602587 NULL 20991 20989 1720781641 552878.50 100
fireweed REL_13_STABLE 2423c84d098ab47ae540bc88a29bcb6fb3812e60 NULL 23437 23434 1720872690 557293.50 100
fireweed REL_13_STABLE 2cf9bda76cfdef5b14345193e0d3abc5a43c9c31 NULL 30443 30441 1721060763 344432.50 100
fireweed REL_13_STABLE 5ee78e303821150658453c7671f124c44ec66b48 NULL 36437 36435 1721227343 537913.50 100
fireweed REL_13_STABLE 7898a494fde999fcf13d9c1fd7db4187c7242163 NULL 21264 21262 1720784659 546213.50 100
fireweed REL_13_STABLE 9d3a2b3cdfbd1d6edbc828feecf979cb35d74091 NULL 31654 31649 1721081842 549326.00 100
fireweed REL_13_STABLE b020a866a22b40138161c70351da375f2d2bd24f NULL 27128 27126 1720979386 548636.50 100
fireweed REL_13_STABLE c774d31f8493a2443cd9f5f82b6266347997c1d4 1 16278 NULL 1720453258 23292.50 1
fireweed REL_13_STABLE cf2c69ec5a5b8ac437c85b8a21d02dc011a78886 NULL 17631 17629 1720705690 541552.50 100
